"5htr1b" "5htr1bchag80" "58e02" "58e02thg80" "c061" "hl8" "mb025b" "mb032b" "mb056b" "mb058b" "mb060b" "mb065b" "mb109b" "mb299c" "mb301b" "mb304b" "mb315c" "mb438b" "mb439b" "mz19" "mz19chag80" "mz840" "mz840np6510" "NorpAChrimson" "NorpAChrimsonCo" "np47" "np47chag80" "np1528" "np2758" "np5272" "np5272mz840" "np6510" "np6510np5272" "or42b" "or42bCo" "thc1" "thd1" "thd4" "thdprime" "thf1" "thf2" "thf3" "thg1" "thg4chag80" "thg4thg80" "trpa1gr28bd" "trpa1gr28bdCo" "trpa1Gr28bd_mutants"
"12" 0.006932 0.3348 0.1116 0.1891 -0.1924 0.4416 -0.1533 0.1014 0.1387 0.1274 0.1447 0.204 -0.4728 -0.04339 0.08801 0.01503 0.07604 0.01497 -0.08457 -0.1638 -0.3992 0.1214 -0.01729 -0.107 -0.1181 -0.06332 0.05976 -0.2552 -0.3954 -0.1199 -0.2204 -0.05326 0.03803 0.05866 0.1436 0.02616 0.2006 0.07251 0.05547 0.265 0.2264 0.2672 -0.0447 0.1085 0.1496 -0.4762 0.03279 -0.1791
"13" -0.01055 0.09782 0.06956 0.2392 -0.233 0.2043 -0.06329 -0.2938 0.2115 -0.00667 0.2722 0.3064 -0.01754 0.2058 -0.06339 -0.05056 -0.01259 -0.1134 -0.002101 -0.2684 -0.4353 -0.02066 -0.1064 0.02808 0.2096 -0.2616 -0.3472 0.0006587 0.2262 -0.1485 -0.6605 -0.04389 -0.3067 0.1462 0.01859 0.04227 0.1028 0.2732 0.004734 0.004016 0.2646 0.1417 0.161 0.04177 0.1772 -0.5223 0.2486 -0.02346
"14" 0.1322 0.2327 -0.1461 0.374 -0.1933 0.3036 -0.009695 -0.1809 0.128 -0.0997 0.08641 0.06918 -0.117 -0.09304 -0.06893 0.09427 0.02979 -0.2664 -0.09452 -0.2598 -0.3869 -0.06072 0.1167 0.037 0.06884 -0.1194 -0.2418 -0.1958 -0.0872 -0.1241 -0.5551 -0.4228 -0.404 0.09551 0.1523 -0.02604 0.1699 -0.0487 -0.02809 0.04486 0.07932 0.2712 -0.1834 -0.009811 0.1745 -0.8039 0.1576 -0.1644
"15" 0.06165 0.1722 -0.1985 -0.09285 -0.4455 0.3251 -0.05779 -0.1666 -0.1167 -0.2179 0.2127 0.2057 -0.0775 0.284 0.01215 0.0168 -0.08087 0.09691 0.168 -0.2924 -0.3826 -0.1579 -0.3164 0.07684 -0.2996 -0.4501 0.05967 -0.2177 -0.678 -0.1423 0.07925 -0.1565 -0.2633 0.1565 0.04034 0.05921 -0.2184 0.1117 -0.08203 -0.02308 0.1358 0.1738 -0.1472 0.02377 -0.1152 -0.1096 -0.03876 0.006236
"16" 0.06775 0.3831 -0.304 -0.1407 -0.2253 0.4027 0.2052 -0.2221 -0.06887 0.04746 -0.2966 -0.2663 0.1699 0.2353 0.1561 0.01816 -0.05738 -0.1536 -0.1043 -0.1641 -0.3168 0.09451 -0.3066 -0.04726 0.221 -0.2996 0.002832 -0.04488 0.4098 -0.5274 -0.2782 -0.01526 -0.08179 -0.4318 0.1345 0.09688 0.3004 0.1324 -0.06283 -0.1632 -0.004156 0.2495 -0.074 -0.0141 -0.1025 -0.7255 -0.1243 -0.1443
"17" -0.03501 0.5619 -0.09126 0.499 -0.1709 0.1021 -0.0817 -0.1626 0.2272 -0.3036 0.0802 0.2161 -0.05131 -0.2707 -0.1192 -0.1953 0.1156 0.3816 0.3108 -0.1439 -0.1521 -0.1843 -0.02075 -0.09046 0.03744 -0.3051 -0.374 0.1648 -0.3198 -0.3856 -0.7716 -0.1303 -0.2193 -0.05515 0.1224 -0.04388 -0.01402 0.05693 0.1739 0.4097 0.04608 -0.07164 0.2323 -0.1111 -0.02988 -0.2058 0.1321 -0.2922
"18" 0.06534 -0.0916 0.02046 0.2038 -0.243 0.2172 -0.164 -0.1681 -0.1481 -0.1947 0.03856 0.472 0.007651 0.04492 0.09955 0.1686 -0.05573 0.1897 0.01449 -0.0723 -0.3615 -0.1452 0.1397 -0.1261 0.04211 0.09502 -0.03514 -0.0801 0.2557 -0.06167 -0.0664 -0.1764 -0.2493 -0.2807 0.238 0.1001 0.03464 0.1216 -0.07771 0.1079 -0.07681 0.08348 -0.0224 -0.01234 0.003965 -0.1832 0.07327 -0.1197
"19" 0.1448 NA 0.2041 0.09014 -0.05647 0.3088 0.2639 -0.2521 -0.03925 -0.009228 0.1966 0.01625 0.04552 NA -0.4372 -0.006668 0.122 -0.1814 -0.13 -0.2869 0.0682 0.001241 0.4764 0.09287 -0.2308 -0.245 -0.234 -0.09768 -0.3189 -0.3852 -0.1485 0.01334 0.1101 -0.2828 -0.014 0.02263 0.2644 NA -0.1297 0.1328 0.05346 -0.03212 0.09051 -0.06387 -0.1449 -0.5237 0.1177 0.2154
"20" -0.1545 NA 0.05111 0.1076 0.05221 0.476 0.2928 0.2412 0.1411 NA 0.09692 0.2572 -0.07115 NA 0.2683 -0.2432 -0.01466 0.00909 -0.1294 -0.1469 -0.1648 -0.4954 -0.09041 0.08904 -0.08723 -0.05023 0.02083 -0.05333 -0.48 -0.7489 NA 0.09539 -0.1246 -0.2897 0.05176 0.01434 -0.04607 NA -0.3258 0.09683 0.1337 0.1809 0.1184 0.06869 -0.003205 -0.586 -0.04143 -0.06647
"21" 0.05744 NA -0.1695 0.1831 -0.1619 0.4981 -0.1239 -0.31 0.02222 NA 0.07941 -0.02117 -0.1062 NA 0.2992 0.1385 0.01488 0.4413 -0.2506 -0.183 -0.2425 0.06385 -0.3423 0.09015 0.008408 -0.221 -0.1736 -0.08903 -0.2003 -0.01252 -0.8214 0.2721 -0.2022 -0.2428 0.2394 0.1082 0.1676 NA -0.0573 0.4322 0.1334 0.1475 -0.04683 0.05756 -0.07738 -0.5102 0.2425 -0.3325
