"trpa1gr28bdCo" "trpa1gr28bd" "hl8" "5htr1bchag80" "58e02thg80" "mb065b" "thd1" "thg1" "thf3" "mb301b" "mb060b" "thf2" "thf1" "thd4" "5htr1b" "mb056b" "mb299c" "thg4chag80" "58e02" "thc1" "mb304b" "mb315c" "thg4thg80" "mb025b" "mb032b" "mb058b" "mb438b" "mz840" "mb439b" "mz840np6510" "mb109b" "thdprime" "np6510" "np1528" "np47" "np6510np5272" "np47chag80" "mz19" "np5272" "mz19chag80" "np5272mz840"
"14" 0.1576 -0.8039 0.3036 0.2327 0.374 0.06918 0.1699 -0.1834 0.2712 -0.06893 0.08641 0.07932 0.04486 -0.0487 0.1322 0.128 -0.09304 -0.009811 -0.1461 -0.02604 0.09427 0.02979 0.1745 -0.009695 -0.1809 -0.0997 -0.2664 -0.06072 -0.09452 0.1167 -0.117 -0.02809 -0.4228 -0.1958 -0.1194 -0.404 -0.2418 -0.2598 -0.1241 -0.3869 -0.5551
"15" -0.03876 -0.1096 0.3251 0.1722 -0.09285 0.2057 -0.2184 -0.1472 0.1738 0.01215 0.2127 0.1358 -0.02308 0.1117 0.06165 -0.1167 0.284 0.02377 -0.1985 0.05921 0.0168 -0.08087 -0.1152 -0.05779 -0.1666 -0.2179 0.09691 -0.1579 0.168 -0.3164 -0.0775 -0.08203 -0.1565 -0.2177 -0.4501 -0.2633 0.05967 -0.2924 -0.1423 -0.3826 0.07925
"16" -0.1243 -0.7255 0.4027 0.3831 -0.1407 -0.2663 0.3004 -0.074 0.2495 0.1561 -0.2966 -0.004156 -0.1632 0.1324 0.06775 -0.06887 0.2353 -0.0141 -0.304 0.09688 0.01816 -0.05738 -0.1025 0.2052 -0.2221 0.04746 -0.1536 0.09451 -0.1043 -0.3066 0.1699 -0.06283 -0.01526 -0.04488 -0.2996 -0.08179 0.002832 -0.1641 -0.5274 -0.3168 -0.2782
"17" 0.1321 -0.2058 0.1021 0.5619 0.499 0.2161 -0.01402 0.2323 -0.07164 -0.1192 0.0802 0.04608 0.4097 0.05693 -0.03501 0.2272 -0.2707 -0.1111 -0.09126 -0.04388 -0.1953 0.1156 -0.02988 -0.0817 -0.1626 -0.3036 0.3816 -0.1843 0.3108 -0.02075 -0.05131 0.1739 -0.1303 0.1648 -0.3051 -0.2193 -0.374 -0.1439 -0.3856 -0.1521 -0.7716
"18" 0.07327 -0.1832 0.2172 -0.0916 0.2038 0.472 0.03464 -0.0224 0.08348 0.09955 0.03856 -0.07681 0.1079 0.1216 0.06534 -0.1481 0.04492 -0.01234 0.02046 0.1001 0.1686 -0.05573 0.003965 -0.164 -0.1681 -0.1947 0.1897 -0.1452 0.01449 0.1397 0.007651 -0.07771 -0.1764 -0.0801 0.09502 -0.2493 -0.03514 -0.0723 -0.06167 -0.3615 -0.0664
"19" 0.1177 -0.5237 0.3088 NA 0.09014 0.01625 0.2644 0.09051 -0.03212 -0.4372 0.1966 0.05346 0.1328 NA 0.1448 -0.03925 NA -0.06387 0.2041 0.02263 -0.006668 0.122 -0.1449 0.2639 -0.2521 -0.009228 -0.1814 0.001241 -0.13 0.4764 0.04552 -0.1297 0.01334 -0.09768 -0.245 0.1101 -0.234 -0.2869 -0.3852 0.0682 -0.1485
"20" -0.04143 -0.586 0.476 NA 0.1076 0.2572 -0.04607 0.1184 0.1809 0.2683 0.09692 0.1337 0.09683 NA -0.1545 0.1411 NA 0.06869 0.05111 0.01434 -0.2432 -0.01466 -0.003205 0.2928 0.2412 NA 0.00909 -0.4954 -0.1294 -0.09041 -0.07115 -0.3258 0.09539 -0.05333 -0.05023 -0.1246 0.02083 -0.1469 -0.7489 -0.1648 NA
"21" 0.2425 -0.5102 0.4981 NA 0.1831 -0.02117 0.1676 -0.04683 0.1475 0.2992 0.07941 0.1334 0.4322 NA 0.05744 0.02222 NA 0.05756 -0.1695 0.1082 0.1385 0.01488 -0.07738 -0.1239 -0.31 NA 0.4413 0.06385 -0.2506 -0.3423 -0.1062 -0.0573 0.2721 -0.08903 -0.221 -0.2022 -0.1736 -0.183 -0.01252 -0.2425 -0.8214
"22" 0.4873 -0.4838 NA NA 0.3901 -0.08858 -0.05829 -0.1247 0.09504 NA 0.07589 NA 0.05217 -0.04476 0.01514 -0.3813 NA 0.1968 0.07428 0.3868 NA 0.169 -0.05312 NA -0.005392 NA -0.9187 NA 0.1576 0.07837 0.1188 -0.09671 -0.1475 NA -0.1255 0.1426 -0.3038 0.01983 -0.2046 -0.1017 -0.4092
"23" -0.01778 -0.3146 0.2835 NA 0.1783 0.1437 0.4219 0.09114 0.03321 0.1481 0.2134 0.1917 -0.2103 0.07227 0.03544 -0.1306 NA -0.0151 -0.03098 -0.0521 NA 0.2015 -0.01442 0.1276 -0.2764 NA 0.09136 -0.07058 -0.006072 -0.3743 0.05521 0.06551 -0.06903 0.4591 0.1043 -0.2331 -0.4533 -0.1332 -0.5263 -0.1994 -0.1501
"24" 0.07842 0.06964 0.2971 NA 0.126 -0.1797 -0.003531 -1 0.08146 0.7781 -0.09989 0.07002 0.1559 NA -0.02496 0.1705 NA 0.1311 0.03778 -0.02834 NA -0.02388 -0.02948 -0.339 -0.2446 -0.2653 -0.3784 NA 0.3756 -0.09135 -0.09235 -0.1955 -0.237 -0.1339 0.2398 -0.2446 -0.08304 -0.2633 NA -0.6312 -0.3621
"25" 0.1252 0.2823 0.1182 NA 0.09745 0.2666 -0.01742 0.003747 -0.03778 0.1646 0.1461 0.07369 0.02228 NA -0.01179 -0.03339 NA 0.1649 -0.1401 0.01146 -0.04736 -0.06892 -0.003877 0.02417 0.5521 -0.008105 NA -0.1465 -0.1902 -0.04049 0.3415 -0.2612 -0.2373 -0.1174 0.473 -0.316 -0.03385 -0.04592 0.007106 0.01954 -0.4272
"26" 0.08447 -0.5179 0.371 NA 0.2692 0.01333 0.1231 -0.1577 -0.1877 0.06959 0.28 -0.001897 0.5859 -0.005735 0.08607 0.0425 NA -0.08443 -0.1065 0.02094 NA 0.1163 -0.00135 0.133 -0.4162 0.1684 0.1941 -0.04113 -0.02355 -0.1422 -0.3362 0.05016 0.2306 -0.1851 0.0318 -0.08155 0.08799 -0.179 -0.03318 -0.0953 -0.2051
"27" -0.0168 -0.4743 0.2844 0.05372 0.2914 0.1296 0.1741 0.1117 0.01761 0.2458 0.1246 0.02852 0.628 -0.02574 -0.02386 -0.02842 0.1148 0.1623 0.008708 0.0522 0.2296 0.08551 -0.002462 0.4947 0.1195 -0.2563 -0.1554 -0.1678 0.03856 0.03657 -0.259 -0.08778 -0.3546 0.06108 -0.1604 -0.2367 -0.03933 -0.1632 0.2032 -0.1496 -0.145
"28" 0.08982 -0.6674 0.1737 -0.1617 0.0578 0.1429 0.1597 -0.04274 0.1956 0.2854 0.1297 0.02924 0.1242 0.03736 0.03889 0.3161 0.004088 -0.05034 0.03906 0.1537 -0.6254 -0.1139 0.06105 -0.06261 0.1494 -0.4541 -0.1637 0.02781 0.197 0.01461 -0.06905 -0.2299 -0.1566 -0.0501 0.09446 -0.1192 0.1551 -0.1874 -0.05578 -0.2425 -0.08694
"29" 0.02219 -0.3141 0.3177 0.1226 0.5475 0.2375 0.09614 -0.003466 0.1806 0.1476 0.08483 -0.05727 -0.2414 0.08119 -0.0145 0.1044 0.141 -0.04483 -0.05393 -0.03262 -0.000217 -0.05273 0.04246 0.3142 -0.2884 0.2574 0.2747 -0.1131 0.1566 -0.06487 0.1189 -0.06426 -0.3397 -0.1262 -0.1529 -0.3685 -0.1531 -0.1211 0.1258 -0.3489 -0.2273
"30" -0.06441 -0.4513 0.3254 0.1822 0.1346 -0.03055 0.02293 -0.2198 0.001512 0.1979 0.3052 -0.1378 0.3185 -0.3095 0.03563 -0.01156 0.03148 0.1759 0.1456 -0.08189 0.08559 0.04425 -0.003344 -0.06564 -0.09869 -0.1236 -0.6697 -0.2372 -0.4777 0.2561 -0.2893 0.07008 -0.04982 -0.0007105 -0.05475 -0.06016 0.09007 -0.08102 -0.2932 -0.3733 -0.232
"31" -0.1203 -0.362 0.1059 0.1369 -0.1803 0.1165 0.265 -0.09684 0.2513 -0.1518 -0.01158 -0.0125 0.2182 0.0571 0.03834 -0.3666 0.1753 0.1967 0.03071 -0.0853 NA 0.2284 -0.07354 -0.1414 -0.1862 0.07099 -0.0833 0.01213 -0.1558 -0.03771 0.1817 -0.03905 -0.3987 0.07628 -0.007869 -0.04865 -0.7679 0.007396 -0.0637 -0.2426 -0.4004
"32" 0.1135 -0.1809 0.2983 0.553 0.0417 -0.02134 -0.3277 0.3883 -0.04999 -0.06227 0.057 0.1309 -0.1061 0.05026 -0.01142 0.2083 -0.1037 0.001981 0.2455 -0.004475 0.05572 -0.4552 0.134 -0.2575 0.01856 -0.3602 -0.06963 -0.3872 -0.2268 -0.06464 -0.1987 -0.08968 -0.2537 -0.6458 -0.2734 -0.05402 -0.1083 -0.2472 -0.2429 -0.212 -0.1881
"33" 0.05072 -0.08637 0.4362 0.432 0.5382 -0.07455 0.1252 0.05544 -0.009988 0.07001 0.08267 -0.1071 0.01289 0.09497 -0.1151 0.1956 -0.01419 0.1324 -0.4573 -0.04766 0.2093 -0.03782 0.01111 0.4643 0.1911 -0.1109 0.001943 -0.2306 -0.2815 -0.02666 -0.01184 -0.008118 -0.1242 -0.06751 -0.3529 -0.2057 -0.1391 -0.0936 0.0768 0.1211 -0.116
