"blue1"	"blue3"	"blue4"	"darkgreen1"	"darkgreen2"	"darkgreen3"	"darkpink1"	"darkpink3"	"darkpink4"	"darkyellow1"	"darkyellow2"	"darkyellow3"	"darkyellow4"	"lightgreen1"	"lightgreen2"	"lightgreen4"	"lightyellow2"	"orange1"	"orange2"	"orange3"	"orange4"	"red1"	"red2"	"red3"	"white1"	"white2"	"positivecontrol"
-0.365472719700125	0.562890462307372	0.695127030403998	0.601416076634736	NA	NA	0.12161599333611	-0.615576842982091	NA	NA	0.106205747605165	-0.790087463556851	0.872761349437734	-0.39192003331945	-0.579341940857976	-0.963765097875885	0.130154102457309	0.273844231570179	NA	0.124947938359017	-0.43981674302374	-0.468346522282382	0.516451478550604	-0.683673469387755	-0.905872553102874	-0.43606830487297	0.524156601416077
-0.561640982923782	NA	0.590587255310287	NA	-0.129112869637651	NA	NA	-0.29487713452728	-0.771761765930862	-0.588088296543107	-0.0766347355268638	-0.616826322365681	NA	NA	0.0535193669304456	NA	-0.385880882965431	NA	NA	-0.765097875885048	NA	-0.362973760932945	NA	-0.0739275301957518	-0.503123698458975	NA	0.551853394418992
0.779675135360267	0.243648479800083	-0.268013327780092	NA	0.569346105789254	NA	NA	NA	-0.291753436068305	0.967513536026656	0.0289462723865056	NA	0.150770512286547	-0.733652644731362	0.607871720116618	-0.6695127030404	0.419200333194502	-0.150145772594752	0.868179925031237	0.900874635568513	NA	-0.0087463556851312	-0.196793002915452	0.477092877967514	-0.251353602665556	0.660558100791337	0.25926697209496
NA	-0.220949604331529	0.457101207830071	0.288837984173261	-0.313827571845065	0.979591836734694	-0.0564348188254894	NA	0.999375260308205	-0.84277384423157	-0.221366097459392	0.252394835485214	0.326530612244898	0.786339025406081	-0.266972094960433	-0.15597667638484	0.458975426905456	-0.808829654310704	NA	-0.157850895460225	0.431070387338609	-0.167013744273219	0.649729279466889	NA	-0.0972511453561016	-0.771137026239067	-0.532278217409413
-0.165972511453561	0.31445231153686	-0.774468971261974	0.323198667221991	NA	NA	NA	NA	NA	0.401082882132445	0.335068721366097	-0.432528113286131	NA	NA	0.72240733027905	0.769679300291545	-0.543315285297793	NA	NA	-0.122657226155768	0.0356101624323199	0.488338192419825	NA	0.156184922948771	0.596001665972511	NA	-0.142648896293211
0.636609745939192	0.165764264889629	-0.288421491045398	-0.110370678883798	0.697001249479384	0.448979591836735	0.938775510204082	NA	-0.711578508954602	-0.162640566430654	-0.613910870470637	0.425864223240317	NA	NA	0.0160349854227405	NA	0.737609329446064	NA	NA	NA	-0.238858808829654	NA	0.769471053727613	NA	0.305081216159933	-0.252186588921283	NA
NA	NA	NA	0.401499375260308	-0.632861307788422	-0.770928779675135	-0.563098708871304	NA	-0.887338608912953	0.852353186172428	-0.153269471053728	-0.575385256143274	0.447521865889213	-0.354019158683882	0.48521449396085	-0.817367763431903	0.529154518950437	-0.0503956684714702	NA	NA	NA	NA	-0.511245314452311	0.156184922948771	-0.763848396501458	0.0326947105372761	-0.0177009579341941
NA	NA	NA	0.579341940857976	NA	-0.476468138275718	NA	NA	-0.397126197417743	NA	NA	0.627446897126197	NA	NA	-0.619741774260725	NA	NA	-0.00437317784256559	NA	0.218034152436485	-0.107246980424823	NA	-0.339441899208663	NA	-0.134527280299875	0.103498542274052	NA
-0.108912952936277	0.871095376926281	NA	NA	NA	NA	0.693252811328613	NA	-0.332361516034985	0.728862973760933	0.090170762182424	0.755310287380258	NA	-0.0222823823406914	0.463973344439817	NA	0.742815493544356	NA	NA	0.175968346522282	0.64493960849646	NA	0.546855476884631	0.688046647230321	0.697417742607247	0.857351103706789	0.234277384423157
-0.573302790503957	0.273427738442316	-0.640982923781758	0.93981674302374	NA	0.339650145772595	-0.477301124531445	NA	NA	-0.0147855060391503	-0.436693044564765	0.543731778425656	NA	-0.163473552686381	0.452728029987505	NA	NA	0.812369845897543	NA	0.910245730945439	0.585797584339858	NA	0.116826322365681	0.334235735110371	NA	NA	-0.304872969596002
-0.822365680966264	0.629529362765514	NA	0.203248646397334	NA	-0.127446897126197	NA	NA	-0.249479383590171	NA	NA	-0.197417742607247	NA	NA	NA	NA	NA	-0.727405247813411	NA	NA	NA	NA	0.35256143273636	NA	NA	NA	NA
-0.274052478134111	NA	NA	0.353394418992087	NA	0.884006663890046	NA	NA	-0.988754685547689	0.241566014160766	0.425447730112453	0.933361099541858	NA	NA	-0.0866305705955852	NA	NA	0.721990837151187	NA	NA	0.302790503956685	NA	-0.695751770095793	-0.360266555601833	-0.371303623490212	NA	NA
