"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"
-0.0286166470076076	-0.154163292928772	-0.0100250090898476	-0.0768878804844032	NA	NA	-0.00708227194472007	-0.0187407433472161	NA	NA	-0.113638642811809	0.0377988176529305	-0.0293273695097666	0.00210321659796263	-0.00115534509657361	0.122559758136771	0.00137413502524707	0.0178033950039629	NA	-0.0251162035091819	-0.0523378872255315	0.00534683726962706	-0.0708029714342758	0.0903627153384809	0.492445363845296	-0.00105220638366322	-0.0706933849750718
0.0444924108102469	NA	-0.039034344739489	NA	-0.00241890331434985	NA	NA	0.499057596508337	0.354021392231146	0.0102824057369574	-0.0284002790431661	-0.00576465471416715	NA	NA	0.0349739197831381	NA	0.0167958314819242	NA	NA	0.0166161995437131	NA	-0.00583750630784696	NA	-0.0136955221895965	-0.0141015845404468	NA	-0.120205723046434
-0.142609591724256	0.0131074054133635	0.01183840852321	NA	-0.00957204837492108	NA	NA	NA	0.0292502994608308	-0.107892598835527	-0.0593625202357669	NA	0.00128845062429997	0.0472846880622673	-0.0367066283550616	0.0671459549802206	-0.0255257710069139	0.0112426860817076	-0.0502346557750956	-0.0164566827488387	NA	0.0203674378577681	0.209731718184301	-0.0214158734257979	0.139765316109426	-0.0151910198547976	-0.00492064269836684
NA	0.100144951486509	0.00116653094551289	-0.0132433483738771	0.184750829294837	-0.0322929694604357	-0.0138314400409043	NA	-0.927206050430376	0.0059461284444335	-0.00993664158188016	-0.0330209409444952	-0.00291748771159508	-0.0407165530682439	0.00895308122735793	-0.00616754003363482	-0.0239152263863057	0.0938393316429276	NA	-0.0387299168076176	0.00595145787749384	0.00283022199723093	-0.0597585300941393	NA	0.11956710743806	0.0215023475272805	0.00477341079661327
0.015891410149438	-0.0326402820753227	0.0208067966314485	0.0201001320739247	NA	NA	NA	NA	NA	0.0223773418252936	0.012610635087118	-0.0019520613612225	NA	NA	-0.00582576662288355	0.00177611323234764	0.0131465924463868	NA	NA	-0.0158288557174169	-0.00238966390071335	-0.0200369429725266	NA	0.000432377468370056	-0.00449125099896611	NA	-0.0167264508956243
-0.0849072887823132	-0.0398256558518804	-0.027186430902578	-0.00706766318674031	-0.0371575817583184	-0.00308789684636154	-0.0402803671078522	NA	0.00759896239168553	-0.0155861829362486	0.0131362669654499	-0.017396470139487	NA	NA	-0.0433197751199808	NA	-0.022912892811577	NA	NA	NA	0.0109864465874796	NA	-0.324571533935743	NA	-0.0188845246442539	0.0101344916457681	NA
NA	NA	NA	-0.0208939742068334	-0.0115333095019152	0.0299317950500518	0.0228669631376741	NA	0.0100609290863343	0.0236987108456369	0.0432869563449873	0.00388489349631037	-0.0130891533033227	-0.0465975988518486	-0.0141101256090448	0.0228741569247702	0.00480771887064246	0.0524144915456689	NA	NA	NA	NA	0.0339023195391267	-0.00285795695628328	0.0214190603426774	-0.0146431080913208	-0.028478722582306
NA	NA	NA	-0.0288018216973389	NA	0.0371934096462008	NA	NA	0.0262725102470491	NA	NA	-0.117702402863125	NA	NA	0.00488065937746182	NA	NA	-0.0297860337034606	NA	-0.000681172761376428	-0.00631939817604169	NA	0.0540505762832265	NA	0.0135802042812425	0.00894184870595507	NA
-0.0713044689361943	-0.0375931217592647	NA	NA	NA	NA	-0.000548141313238576	NA	0.0401195587301349	-0.0501168479616937	0.0142624559018066	-0.0463522282345584	NA	-0.00483034523828194	-0.00271765725307077	NA	-0.00904687224076386	NA	NA	0.0108730500908319	0.0494570913491068	NA	0.0125215656542299	0.00243153547803869	-0.0112730626245351	0.0132768476668817	-0.0103748545232086
-0.084046215879531	0.00720808542835909	0.0131578649101292	-0.841924124034855	NA	-0.0319093970669574	-0.00557079296473913	NA	NA	-0.052043261980114	-0.0285540468193477	-0.0150088685042752	NA	-0.0046481033920337	-0.0191333783432205	NA	NA	-0.248288714356776	NA	0.00154192954774598	-0.0262550495144522	NA	0.00721379541767925	-0.122874697916814	NA	NA	0.0301254573817489
0.0668927125508395	-0.00312763210546346	NA	0.000229870129370896	NA	0.00532352073280556	NA	NA	-0.00208104288346837	NA	NA	-0.012042306806794	NA	NA	NA	NA	NA	0.102443747758626	NA	NA	NA	NA	0.00330461463466238	NA	NA	NA	NA
0.0440584389397489	NA	NA	0.107907108064141	NA	-0.182397064157559	NA	NA	0.0343979930299967	-0.0274052511215969	-0.0377223455964655	0.0268286185956535	NA	NA	0.0219414847429788	NA	NA	-0.0157556128617021	NA	NA	-0.0278853167120502	NA	0.031769313156363	0.0194435585365891	-0.00941194308042535	NA	NA
0.0284504786701226	NA	NA	0.0495771736526009	NA	0.00651993863475045	NA	NA	NA	-0.0155304599846929	NA	NA	0.0595249447375792	0.00228358558852063	-0.0457140814680572	NA	NA	NA	NA	-0.0301122177473524	NA	NA	0.0352651279653712	NA	-0.0242891543455043	NA	-0.0106276112211306
0.0167703578774989	NA	-0.00228588986872694	0.067010919262209	NA	NA	NA	NA	NA	0.100152372112415	0.00353479359628118	0.00557805147600498	NA	0.0863656037926474	0.0267434122027104	NA	NA	0.0190456535051445	NA	0.0240874069859689	0.035581426923835	NA	0.00966231294264655	NA	0.00358650564289508	NA	-0.0771135641031806
NA	0.0175247322724643	0.0167176026040235	-0.0266761499211592	-0.057002516709352	NA	-0.0121692171104617	NA	NA	-0.000147915197287948	NA	0.0131164160641771	-0.174932300980602	NA	-0.0640033650789169	NA	NA	0.00161801014036898	NA	NA	-0.00146023062635132	NA	-0.00925215127544071	NA	-0.0383166488112539	NA	NA
NA	0.00112875187585425	0.0131578649101292	0.0362053814014006	-0.0952890754288935	0.046761250818011	NA	NA	NA	0.030650326452642	NA	NA	NA	-0.0787519536102558	0.0273065860084392	NA	NA	-0.0422589765975568	NA	0.0607197700509957	NA	NA	-0.0331237791818579	NA	0.0233629985045898	NA	0.0140519740162203
NA	-0.0255857451835321	NA	0.0778303990171377	NA	NA	NA	NA	NA	0.00750881215639313	NA	NA	NA	NA	NA	NA	NA	0.175537709931602	NA	-0.014162413591641	NA	NA	-0.0284263552127487	NA	0.00532923425754598	NA	NA
NA	NA	NA	-0.0321207040361337	0.00523927017199233	NA	0.0188263599881842	NA	NA	0.0702626908514982	NA	NA	NA	0.0420406743340261	-0.0055197457352222	NA	NA	-0.188904286880836	NA	0.0385325869323953	NA	NA	0.00632879856591691	NA	0.0287891089968215	NA	NA
NA	NA	0.0131578649101292	NA	NA	NA	0.0267977451803328	NA	NA	0.0220251874358636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	-0.0321798828834204	NA	NA	-0.0189400115418618	NA	NA	NA	-0.360391464889934	NA	NA	NA	-0.043366510255919	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	0.000341569062508703	NA	NA	0.00316177701615661	NA	NA	NA	0.0110008605960275	NA	NA	NA	0.0835068732596086	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
